UNIQUE_ID,2007,2012,2017
NCA_AL-10144,NA,NA,NA
NCA_AL-10145,NA,NA,NA
NCA_AL-10146,NA,NA,NA
NCA_AL-10147,NA,NA,NA
NCA_AL-10148,NA,NA,NA
NCA_AL-10149,NA,NA,NA
NCA_AL-10150,NA,NA,NA
NCA_AL-10151,NA,NA,NA
NCA_AL-10152,NA,NA,NA
NCA_AL-10153,NA,NA,NA
NCA_AL-10154,NA,NA,NA
NCA_AL-10155,NA,NA,NA
NCA_AL-10156,NA,NA,NA
NCA_AL-10157,NA,NA,NA
NCA_AL-10158,NA,NA,NA
NCA_AL-10161,NA,NA,NA
NCA_AL-10162,NA,NA,NA
NCA_AL-10163,NA,NA,NA
NCA_AL-10164,NA,NA,NA
NCA_AL-10165,NA,NA,NA
NCA_AL-10166,NA,NA,NA
NCA_AL-10167,NA,NA,NA
NCA_AL-10168,NA,NA,NA
NCA_AL-10169,NA,NA,NA
NCA_AL-10170,NA,NA,NA
NCA_AL-10171,NA,NA,NA
NCA_AL-10172,NA,NA,NA
NCA_AL-10173,NA,NA,NA
NCA_AL-10174,NA,NA,NA
NCA_AL-10175,NA,NA,NA
NCA_AL-10176,NA,NA,NA
NCA_CA-10001,NA,NA,NA
NCA_CA-10002,NA,NA,NA
NCA_CA-10003,NA,NA,NA
NCA_CA-10004,NA,NA,NA
NCA_CA-10005,NA,NA,NA
NCA_CA-10006,NA,NA,NA
NCA_CA-10007,NA,NA,NA
NCA_CA-10008,NA,NA,NA
NCA_CA-10009,NA,NA,NA
NCA_CA-10010,NA,NA,NA
NCA_CA-10011,NA,NA,NA
NCA_CA-10012,NA,NA,NA
NCA_CA-10013,NA,NA,NA
NCA_CA-10014,NA,NA,NA
NCA_CA-10015,NA,NA,NA
NCA_CA-10016,NA,NA,NA
NCA_CA-10017,NA,NA,NA
NCA_CA-10018,NA,NA,NA
NCA_CA-10019,NA,NA,NA
NCA_CA-10020,NA,NA,NA
NCA_CA-10021,NA,NA,NA
NCA_CA-10022,NA,NA,NA
NCA_CA-10023,NA,NA,NA
